,blue_gold,blue_kda,blue_win,blue_towers,blue_barons,blue_dragons,blue_mastery,red_gold,red_kda,red_win,red_towers,red_barons,red_dragons,red_mastery,win,teamId,id
241,66.78909178844445,2.495991242675453,0.36,2.96,0.0,0.0,390530,66.18918334351898,3.454791763791764,0.6,3.2,0.04,0.16,112306,0,100,BR1_2332367947
242,64.91980223341336,5.538147186147187,0.64,3.64,0.12,0.48,589868,66.78909178844445,2.495991242675453,0.36,2.96,0.0,0.0,235668,0,200,BR1_2332366197
243,66.62140524729723,2.657696204380415,0.4,2.8,0.0,0.0,493766,69.04084737694,4.898222986164162,0.6,3.2,0.08,0.2,177486,0,100,BR1_2332393980
244,61.24364213606149,3.730607503607504,0.32,2.84,0.2,0.6,255071,66.62140524729723,2.657696204380415,0.4,2.8,0.0,0.0,211798,1,200,BR1_2332342216
245,69.9038439536689,4.874534521034522,0.68,2.96,0.0,0.0,579363,66.62140524729723,2.657696204380415,0.4,2.8,0.0,0.0,116445,0,200,BR1_2332380104
246,49.563877725397205,2.386859806859807,0.56,5.64,0.44,1.44,774442,42.98394352083646,2.727050505050505,0.48,6.0,0.52,1.48,156214,0,100,BR1_2332188968
247,40.59472095825408,2.962285714285714,0.6,5.48,0.4,1.28,1388440,45.39975210566363,3.1287313797313807,0.4,4.6,0.48,1.6,612776,0,200,BR1_2332153843
248,42.40761399829547,3.950710622710623,0.72,5.24,0.32,1.92,3793325,41.27242523989944,2.945825396825396,0.32,3.32,0.24,0.96,5175352,0,200,BR1_2332476852
249,35.62815714179715,2.108285714285714,0.24,2.36,0.2,0.76,975636,38.42780430018189,2.512838383838384,0.6,3.92,0.24,1.64,1167313,0,100,BR1_2332525477
250,41.68225604038096,2.838431457431458,0.44,4.72,0.16,1.64,673628,34.82484922030476,2.2156940836940837,0.24,3.08,0.24,1.08,638326,0,200,BR1_2331756795
